id,weekly_increase_rate_plan
example_0000,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0001,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0002,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0003,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0004,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0005,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0006,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0007,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0008,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0009,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0010,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0011,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0012,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0013,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0014,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0015,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0016,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0017,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0018,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0019,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0020,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0021,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0022,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0023,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0024,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0025,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0026,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0027,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0028,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0029,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0030,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0031,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0032,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0033,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0034,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0035,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0036,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0037,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0038,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0039,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0040,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0041,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0042,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0043,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0044,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0045,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0046,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0047,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0048,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0049,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0050,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0051,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0052,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0053,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0054,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0055,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0056,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0057,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 60%x3
SET2 65%x3
SET3 70%x3+

Week3
SET1 65%x5
SET2 70%x3
SET3 75%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0058,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0059,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0060,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0061,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 55%x5
SET2 65%x3
SET3 75%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0062,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0063,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 80%x5
SET2 85%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0064,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0065,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0066,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0067,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0068,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0069,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 45%x3
SET2 55%x3
SET3 65%x3+

Week3
SET1 50%x5
SET2 60%x3
SET3 70%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0070,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0071,"Week1
SET1 45%x5
SET2 50%x5
SET3 55%x5+

Week2
SET1 50%x3
SET2 55%x3
SET3 60%x3+

Week3
SET1 55%x5
SET2 60%x3
SET3 65%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0072,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0073,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0074,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0075,"Week1
SET1 55%x5
SET2 60%x5
SET3 65%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0076,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0077,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0078,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0079,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
